text,source,label,note
มีอีกมั้ยจัดมาเลยหะ เลือกแดกให้ตาแตกไปเลย,wisesight,1,
สมมุติว่า สำลีคือ ปอด https://youtu.be/HD__r66sFjk,wisesight,0,
"ร้านนี้ตั้งอยู่ที่ CDC รามอินทรา อยู่ตรงโซนกลาง ใกล้ๆกับร้านอาหาร ZEN ร้านไม่ใหญ่มาก พนักงานบริการดี อาหารอร่อย ราคาไม่แพงจนเกินไป

เมนูที่สั่ง
- คอหมูย่าง >> ย่างมาไหม้กำลังดี แต่เนื้อยังไม่นุ่มเม่ามี่ควร
- แหนมเนือง >> สั่งชุดเล็กมา รสชาติดีใช้ได้เลย
- ส้มตำ
- น้ำตกหมู",wongnai,0,
เบื่อมึง น่ารำ,wisesight,0,
ร้านTwist Eat&Drink ตั้งอยู่บนชั้นสามของตึกseen spaceในทองหล่อ13..ร้านเป็นกระจกโล่งสบายตาดูอบอุ่นและเป็นธรรมชาติมากๆ..อาหารเป็นแบบเพื่อสุภาพ modern mediteranian style..pork chop..crab pasta..salmon..ทำออกมาได้อย่างลงตัวทุกจาน..เหมาะสำหรับนั่งทานbrunchวันหยุดสุดสัปดาห์เป็นอย่างยิ่ง..,wongnai,0,
เหมาะสำหรับ ทุกเพศทุกวัย มากันเป็นหมู่คณะ ครอบครัว สังสรรค์ มีความเป็นส่วนตัว ลูกค้ามีทั้งชาวไทย และชาวต่างชาติ รสชาติอาหารดีพอใช้ ราคาย่อมเยาเป็นกันเอง หากท่านได้ผ่านมาทาง อ.หางดง จ.เชียงใหม่ เรียนเชิญแวะชิมอาหาร ได้นะครับ...!!!,wongnai,0,
จิบเบียร์ริมแม่นํ้าเจ้าพระยา บรรยากาศชิคๆชิวๆ มีดนตรีสดเพราะๆ พนักงานเสริฟสวย คุยง่าย แถมยังมีเบียร์หลากหลายแบบบริการ.. ถึงแม้ราคาจะสูง + Vat + Service Charge อีกบานเบอะ แต่ก็ถือว่าเริ่ดมาก เหมาะแก่การกลับมาอีกรอบ ????,wongnai,1,
องมินคือแบบ เวนเอ้ย ฮือออๆๆๆรกากยกนกนดขแนบดนกลกุรักอินนิสฟรีช่วยด้วยอฃมินเตมไปหมดแน้วฮทอกุมือสั่ยกาวๆสกวแยเ,wisesight,X,
ร้านนี้ถ้าใครรักสุขภาพหน่อยก็จะรู้จักดี   ต้องกินตลอด  คือเขามีมานานแล้วนะคะ   มีสาขาเยอะแยะเลย  ไม้เค้าอร่อยมากจริงๆ  แป้งก็นุ่มมากจริงๆ  คือชิ้นนึงจะได้หมูแดงแบบเต็มๆเยอะมาก  และใหญ่มาก  แต่รู้สึกว่ามันเข้ากันไปหมด,wongnai,0,
มีของนาวาร่า D40 ไหมคับ,wisesight,0,
เรากินแล้วนะเบียร์หมี แต่หมีนี่ต้องพิสูจน์,wisesight,0,
