text,llm_conf,label,note
วิเคราะห์อย่างดีแต่สุดท้าย555 เชียงใหม่อยู่ภาคใต้เครค้ะ😂👌,0.9,1,
เป็นเมดที่สิงคโปร์เงินไม่ดีเท่าไหร่หรอกค่ะ แค่เมดที่บ้านใช้ sk-ii ครบเซทแค่นั้นเอง 5555555555555555555555,0.95,1,
ขายสินค้าที่เป็นไปได้สิคะ....ใช้สมองเยอะๆ ....แต่ผ้าอนามัยใช้เย็นดีจริงคร่า555,0.9,1,
ใช่แล้วครับ พวกดีเซลตัวทำมลพิษเลย แย่จริงๆ ว่าแล้วก็เอา MU X 3.0 ไปอุด EGR+Remap ดีกว่า 555,0.9,0,
สวยสุดๆ...ยกเว้นไฟท้าย...ดูไม่ได้เลย ได้มาฟรีๆผมจะไม่ขับเลย ขาย ไปซื้อ Nissan March ขับดีกว่า 555 เงินที่เหลือเอาไปเท่วยุโรปมั่ง,0.9,1,
แอดมินของร้านเดอะเฟสช็อปก็มั่นหน้าเก่งร่วมไปกับฟคดีแท้ 555555 ปากนี่ไม่ต่างกับแอดมินของอีเถ้าแก่อะ,0.9,1,
ดีนะเนี่ยที่ไม่เข้ามาตั้งแต่แรก โชคดีไปค่ะ ไม่ต้องมาเสียความรู้สึกแบบเพื่อนๆ และคูปองที่ได้ก้อไม่ได้ลดค่าอาหารใช่รึป่าวค่ะ โอ้ววว!! My God 555,0.9,0,
การช็อปปิ้งที่ show dc เป็นอะไรที่แปลกใหม่ที่สุดในชีวิต เดินวนสิบรอบเพราะไม่รู้จะซื้ออะไรดี 55555555555555555555,0.9,1,
กาวข้างหลังผ้าอนามัยติดทุกอย่างยกเว้นกางเกงในจ้าาา ใส่ดีๆ อย่าให้มันพลิกกลับด้านเด็ดขาด ไม่งั้นมีร้อง เอื้ออออออ 55555,0.9,1,
อินนิสฟรี ติดสงกานต์หมดเลยจ้าาาา ค้างอยู่ไปรฯ เพื่อนๆ โปรดรอ 555555 สัญญาณโทรศัพท์ก็ไม่มี.....รถก็เสีย ฮัลโหลลบ สวัสดีปีใหม่ไทยค่าาาา,0.85,1,
ของเรา 2 คน 4 กลม ก็อาการเดียวกัน นั่งคุยกับชักโครกซะยาว และหลังจากนั้นก็ไม่ได้เจอกับสเมอร์นอฟมิ้ดไนท์อีกเลย ลาจากกันถาวร 55555,0.85,0,
โดนน้องสาวเรียกไปโวยวายว่าไม่ต้องซื้อผ้าอนามัยเย็นจิ๋มมาแล้วนะ เย็นไปหมด เย็นยะเยือก 5555 ทำไมล่ะ เปลี่ยนบรรยากาศไง ตื่นเต้นดีออก,0.8,1,
"ผ่อนฟอจูนเนอร์ งวดละ1,299 ผ่อน60ปี่หรือไม่ก็ผ่อน3ชั่วอายุคนเลยมี่เดียวนะ55555555",0.9,1,
เดี๋ยวไปจัดเบียร์ช้างสักลัง ตอบเเทนคุณสันติ 5555,0.9,0,
เมื่อก่อนเรียกกันเสี่ย แต่เดี๋ยวนี้เรียกเหี้ยกันซะหมด. อีกสักครั้งไหมป๊า5555,0.95,1,
ผ้าอนามัยลอรีเอะ คูลลิ่งเฟรช จะเย็นอะไรเบอร์นี้ 🙄 ฉี่แล้วฉีดที แสบสันเหมือนมีใครเอายาหม่องมาป้ายฮี ฮือออทรมาน555555555,0.9,1,
👏👏👏👏เหมือนรุ้ว่าต้องการ555,0.85,1,
การท่องเที่ยวไทยเจ๊งแน่ ๆ 5555 รัฐบาลจะทำอย่างไรดี,0.9,0,
คนอื่นใช้แค่โทนเนอร์ของบู๊ทยังดีเลยอะ นี่ขนาดเอสเซนส์ของสกินฟู้ดยังไม่ดีเลยจ้า5555555,0.9,1,
จิงอ่าาา เหมือนต้ม อยุ่กับบ้านเลย 5555 สงสารอ่ะ. แต่ก้ขำค่ะ #ดีนะไม่มีสาขาใกล้บ้านที่เปนแบบนี้,0.9,0,
5555 ใช่ค่ะ นางบอกถ้าใช้ ios ให้ใช้ apple tv เดี๋ยวนะ คือเอ็งต้องพัฒนาแอพสิ ฮือ ปวดหัววว 55555,0.9,0,
เอมเค 370 บาท 5555+ แม่งมื้อเดียวอยู่ได้กี่วัน,0.9,1,
คือจะเดินไปหยิบที่แต้มสิวของสมูทอีมาลองใช้ เเล้วพี่พนักงานเดินมาบอกว่าอันนี้ใช้ดีกว่า อีเวงแพงกว่าด้วย555555555…,0.9,1,
กูเขดและเน๊าะ โปรวันพุธ มะเติมของเลยต้องรอคิวเปิดโซนเดียว5555 ถ้าคิดเตมๆเปิดเตมโซน รอจนไส้แห้ง,0.9,1,
เดี๋ยวคุณเบลจะต้องเปลี่ยนรถนั่ง เพราะถ้าได้กินงี้ทุกวัน คันนี้จะเล็กไปแล้ว 555+,0.85,1,
วินเนอร์ 4 คน อยู่คอนโดเดียวกัน แต่มารถ 4 คัน ทางเดียวกันทำไมไม่ไปด้วยกัน ประหยัดน้ำมันหน่อยเส่ ทุกงานอะ 555555,0.85,1,
ทีแรกจะซื้อมาสด้าสองและซีเอ๊ก3 พร้อมกันสองคันเพราะชอบสเปกรถสวยดี เพื่อนห้ามไว้ก่อนบอกอย่าเสี่ยงเลย ดีที่ไม่ซื้อ ถ้ามีปันหามาเราประท้วงคงโดนฟ้อง555+,0.85,0,
จิงๆครับ ขับเบ็นซ์w210ไปงานวัด รปภ หาที่จอดให้อย่างดี แต่ไม่สนใจ อันติสคันละแปดแสนเลย 555,0.85,0,
แม่งดูถูกบลัช 4u2. ไม่ได้จริงๆ แตะนิดเดียว สีชัดมากเว่อ นี่ตูดลิงละ เอาไงดี ไปแบบนี้เป็นความชิคๆรึล้างออกทั้งหน้าแต่งใหม่ 555555555,0.85,1,
ปุริมไม่ได้อ้วงงงง เเค่คุณเฟียตตัวเล็กเฉยๆ ใครว่าปุริมอ้วงเดี๋ยวปุริมตีด้วยชานมไข่มุกเเก้วเมื่อวานเลยนะ 555555555 #Pluem_Purim #เด็กเสี่ย,0.85,1,
ที่รักไปดูสาขาที่ร่วมก่อน5555เสียใจด้วยนะคนดี,0.85,0,
บาคาดี้เมื่อคืนติดลมมาก วันนี้แฮงค์ทั้งวันยังไม่หายเลยเนี่ย คุณหลอกดาวสั่ดๆ555555555,0.85,X,
จวนเสี้ยงตังเก่งขนาด555,0.8,X,
สวยดีครับ จากสาวกนิสสัน รอมาร์ชตัวใหม่ต่อไป 555,0.8,1,
เดี๋ยวๆ Vios เคยมีไมล์ดิจิตอลด้วยหรอ5555,0.8,0,
น้ำหอม dior กลิ่นพี่จุนนี่ว่ากลิ่นเปรี้ยวอะ5555555555 จมูกฉันไม่ดีเร้ออย่างไร,0.8,1,
สายเปย์ที่แท้จริง 55555 app.ยังรู้เลย เที่ยวที เปย์ค่าเหล้า เปย์BLEND285 เปย์ค่าห้อง เปย์ยาวไปค่าาาาาา !!! #คบกับพี่เปย์อย่างเดียว,0.8,1,
รสดีไหมครับป๋า..555,0.9,0,
อ้วน พน.ดีไหม555,0.85,0,
ใครเชคได้ทันแล้วไม่ได้ใช้ก็ส่งต่อนะครับเสียดายสิทธิ์ จะขอบคุณมาก เรารออยู่ เราไม่ทัน 555,0.85,0,
บริษัทที่ส่งน้ำให้ #showdc เอาน้ำมาให้ สำหรับแฟนคลับน้องสิงโต ขอบคุณสำหรับน้ำใจนะคะ ที่นั่นน้ำแพง.555 😁…,0.8,0,
วันนี้จัดไปเลยค่า5555 ขอบคุณนะคะ,0.8,0,
ขอบคุณน่ะ ออเจ้า 5555+,0.8,0,
ขอบคุณค่ะแต่ก่อนอยู่กรุงเทพใช่อย่างแพงแต่เดี่ยวนี้5ปีแล้วเลยใช่แค่นี้พอ5555,0.75,0,
5555 วันนี้เลยดีมะ😂😂,0.7,0,
