text,label,prob_seed42,fold_seed42,prob_seed7,fold_seed7,prob_seed2024,fold_seed2024
"ร้านนี้อยู่ตรงข้ามณัฐวัฒน์เพลสค่ะ ก่อนถึงสามแยกเหมืองหิต เป็นร้านเพิง มีป้ายบอกชัดเจน สามารถจอดรถข้างทางได้ค่ะแต่กลางวันคนจะเยอะมาก

สั่งเส้นมหมี่ต้มยำมาทาน รสชาติพอทานได้ค่ะไม่ได้อร่อยหรือแย่อะไรมาก คือไม่เปรี้ยวแบบต้มยำเลยต้องเติมเอาอีกที สรุปให้แค่3/5พอทานได้ ดีที่ปริมาณเยอะ มีผักให้เติมได้ กับราคาถูกชามละ30บาทค่ะ
คะแนนรวมร้าน⭐️⭐️⭐️
บริการ⭐️⭐️
รสชาติ⭐️⭐️⭐️
ราคา⭐️⭐️⭐️
ความสะอาด สวยงาม⭐️⭐️⭐️",0,0.36526960134506226,4,0.07212656736373901,2,0.15194353461265564,2
นั่งจิบสปายเบาๆ แล้วเราจะสบาย เท้าหย่อนไปในน้ำฟินๆ ที่มัลดีฟส์เมืองไทย ในกาญจนบุรี ธรรมชาติสร้างสรรค์ ความมันจึงบังเกิด รีบอยู่ใยไปเถิด ไปมัลดีฟส์เมืองไทย มีของกินเยอะแยะ เที่ยวไทยมีดีกว่าที่เราคิด #spyclassic,0,0.41275453567504883,3,0.34541061520576477,4,0.7504259347915649,2
"ถ้าใครมาถึงตลาดใหม่สามย่าน ก็ต้องรุ้จักกับสเต็กอ้วน ผอม เป็นอีกคนต้องไปลองนะค่ะ 
ร้านจะตั้งอยู่ที่ชั้น 2 ของตลาดใหม่สามย่านค่ะ บรรยากาส ก็จะมีที่นั่งให้เลือกเยอะค่ะ เป็นคล้ายๆๆโรงอาหารเลยมีให้เลือกหลายร้านแต่เราเน้นที่ร้านสเต็กอ้วน ผอม 
เมนูทีสั้งก็ต้องไม่พ้นสเต็กรวม จานใหญ่มาก เห็นแล้วต้องตกใจกันไปเลยทีเดียว และก็สปาร์เก็ตตี้ขี้เมาทะเล แช่บเวอร์  จานใหญ่ กินคนเดียวคงไม่หมดแน่นอน 55 เรื่องราคาไม่ได้ใหญ่เหมือนจานเลย ราคาไม่แพงด้วยค่ะ",0,0.10080308467149734,5,0.2578829228878021,4,0.10519392043352127,4
"ผ่านมาโดยบังเอิญเพราะต้องออกพื้นที่ แต่ ดันง่วงไม่เป็นเวล่ำเวลา :(
แวะมาแบบ งง ๆ แต่ไม่เสียใจเลยค่ะ 
กาแฟเข้มข้น หอม ไม่ติดเปรี้ยวมาก แต่ ติงนี๊ดดดเดียว ใส่นมน้อยไปนิดนึงง่ะ เลยติดเปรี้ยวปลายลิ้น 
ส่วน พิซซ่า ไม่ทันได้ลอง เพราะเวลางาน เร่งเหลือเกิน งือ ๆ เสียใจจุง",0,0.33490291237831116,1,0.5322834849357605,4,0.3598650395870209,2
วันที่ไป แวะไปช่วงบ่ายๆ หลังจากเสร็จธุระ แล้วก็คิดว่าน่าจะดีว่าไปทานตอนค่ำ คาดว่าคนอาจจะเยอะ เพราะตั้งใจไปจะไปหาร้านบรรยากาศดีๆทานอาหารชิลๆ ราคาเปิดมา พอรู้อยู่ล้วว่าจานหลัก 300-600 แต่อยากพาแฟนไปทานเนื้อแกะ อาหารถือว่าใช้ได้ แต่สปาเก็ตตี้ ไม่ค่อยอร่อย จานแกะ ถือว่าดี ของทานเล่นก็เป็นคริสปี้แฮมชีส ถือว่าใช้ได้ แต่ ... ที่ร้านร้อนไปหน่อย เพราะมีกลุ่มพนักงาน เดินเข้าออก เอาของจาครัวข้ามไปอีกฝั่ง และเปิดประตูทิ้งกว้างไว้ เสียงรถดังมาก เดี๋ยวเดินเข้าเดินออก ไม่เสร็จซักที จริงๆควรมีทางออกด้านข้างให้พนังานขนอาหารออกไป เวลาเรียกสั่งเครื่องดื่ม หรือ ของหวานเพิ่มยากมาก พนักงานบริกรไม่ดูลูกค้าเลย บางที่พนักงานก็คุยกันเองเสียงดังกว่าลูกค้าเสียอีก แต่พอมาถึงโต๊ะ ก็บริการสุภาพดี ขอชื่นชมครับ แต่โดยรวมผมว่ายังไม่คุ้มกับราคาอาหารครับ ไปตามโรงแรมในราคานี้ ได้บริการดีว่านี้นะผมว่า สรุปวันนั้น เสียไปกือบ 2 พัน เสียดายอยู่ครับ ความเห็นส่วนตัวจริงๆนะครับ ท่านที่ไม่เห็นด้วยต้องขออภัยครับ อาจจะเป็นจังหวะไม่มีของผมเองครับ,0,0.10653353482484818,5,0.2911258637905121,4,0.06507161259651184,1
อาหารอิตาเลียนยังไงก็ต้องมากินกันเยอะๆ หลายๆคน เพาาะจานนึงนี่ใหญ่พอสมควร กินคนเดียวไม่ไหวจริงๆ เมนูแนะนำต้องเป็นพาสต้า ต่างๆ พิซซา Parma Ham กับ salami เด่นตรงที่ชีสนุ่ม และแป้งบางๆ ขนมหวานนี่ดีงามเลยทิรามิทสุ จัดมาสวยงาม pana cotta นุ่มเด้งทีเดียว,0,0.11676745116710663,5,0.1482715755701065,1,0.0631418526172638,1
กลับมาอีกครั้งกับการรีวิว ร้ายก๋วยเตี๋ยวเนื้อวัว@สุราษฎร์ธานี(น่าน) ซึ่งนักชิมไม่ควรพลาดเลยทีเดียว ดิฉันไปทานเกือบทุกวันเสาร์ บางคนคิดว่าราคาแพง แต่จริงๆแล้วถ้ามาลองชิมจะรู้เลยว่าของเขาดีจริงๆ คุ้มค่ากับราคา ด้วยรสชาดที่อร่อย วัตถุดิบที่อัดแน่น เข้มข้น ลงตัว ดิฉันจะชอบทานสองใจลังเล ใส่แต่ใส้หวาน เอ็นแก้ว เนื้อตุ๋น แล้วอีกเมนูคือหม้อไฟทานกับข้าวสวยร้อนๆเข้ากันๆ ถ้าหากผ่านมาหรือตั้งใจมาก็ตาม ลองชิมนะคะ อยู่ตรงข้ามกับเทศบาลจังหวัดน่านหน้ากาดน่านคะ,0,0.2518792748451233,4,0.10174862295389175,5,0.12304677069187164,2
"เดินสายเกาหลีต้องมาชิมชอบเกาหลีต้องมาาลองง
ตัวร้านที่บรรยากาศค่อนข้างดีตามสไตล์เกาหลี 
พนักงานเสิร์ฟเรียกยาก พนักงานเหมือนจะไม่เพียงพอเวลาลูกค้าเยอะๆ แต่โดยรวมก็บริการดีคะ 
ส่วนอาหารที่สั่งมาก็มีของขึ้นชื่อร้านเลย(จำชื่อเมนูจริงๆไม่ได้ขอเรียกตามความรู้สึกเลยนะคะ)
1.บิบัมบับปลาหมึก ปลาหมึกค่อนข้างเล็กแล้วก็น้อยด้วย ตัวข้าวพอคลุกกันแล้วโอเคเลย เติมโคชูจังสักหน่อยอร่อยเลย
2.ซุปกิมจิ รสชาติโอเคเลยแต่เหมือนขาดอะไรไปสักอย่างเลยยังรู้สึกไม่โดนใจ เครื่องแน่นมากก
3.คิมบับ ปั่นมาก้อนเบ้อเร้อเลย เครื่องแน่นมากๆ จานนี้ถูกใจมาก อร่อยด้วยยย เยอะะอิ้มมากก
4.ชาเขียวร้อนอะไรสักอย่างง กลิ่นหอมดีคะ จิบๆไปก็เพลินดี
5.ชาเขียวเย็น ก็รู้สึกเหมือนชาเขียวทั่วไปนะคะ
 
บางอย่างรสชาติยังไม่ถูกปากแต่โดยรวมก็โอเค มีเครืองเคียงเติมฟรีนะคะ ปลาอร่อยมากก ใครว่างก็แวะมาชิมนะคะ บิบิมบับขึ้นชื่อจริงๆ",0,0.0521937720477581,3,0.10979359596967697,2,0.09294278174638748,5
หลอกได้ก้อได้ พวกที่ไม่ศึกษา แหละ และส่วนใหญ่คนไทย ชอบพูดในขณะที่รู้ไม่จิง,0,0.5606580376625061,1,0.5189144015312195,2,0.43917474150657654,5
ถึงชื่อจะเน้นเป็ด ร้านนี้ไม่ได้มีแค่เป็ดนะจ้ะ เมนูเยอะแยะเลย ราคาก็ดี หลัก 10 ยันหลัก 500 มาคนเดียว 100 เอาอยู่เหลือเฟือ บรรยากาศร้านไม่ต้องห่วงลมโกรกดีมาก พัดลมนี่ไม่ต้องเปิดเลย  ตอนนี้มีโปร ไลค์ แชร์ ฟรี เครื่องดื่ม 1 ขวดนะจ้ะ,1,0.2838979661464691,3,0.4243708848953247,4,0.13793204724788666,1
"ร้านเป็ดย่างในตำนานที่ผ่านร้อนผ่านหนาวมาหลายชั่วคนมากกว่า100ปี อยู่ตรงข้ามโรบินสันบางรัก ไม่สามารถจอดรถหน้าร้านได้ แต่ก็ไม่ทำให้คนกินน้อยลงไปเลยทั้งไทยจีนฝรั่ง ร้านห้องแถวห้องเดียวมีให้บริการทั้งชั้นบนและชั้นล่าง มนต์เสน่ห์ของร้านเก่าโต๊ะโบราณบวกกับรสชาติและการบริการที่ถือว่าเร็วถ้าดูจากจำนวนคนยังกะจะแจกฟรีก็ว่าได้

ข้าวหน้าเป็ดย่าง หนังบางเนื้อนุ้มๆชุ่มด้วยน้ำราด รสหวานนำ ตัดเปรี้ยวเค็มด้วยน้ำจิ้ม เนื้อเป็ดค่อนข้างหนาแซกด้วยส่วนผสมที่ใช้หมัก ไม่มีกลิ่นสาบ เนื้อเป็ดมีรสของตัวเองไม่แห้ง 

ข้าวขาหมูรมควัน ใช้น้ำราดเดียวกับเป็ด หวานนำแต่ตัวหนังให้ความกรุ๊ปกรอบ เคี้ยวง่ายอร่อยไปอีกแบบ

ติ่มซำ เสียบไม้แต่ละลูกขนาดพอคำ ใช้แป้งเกี๊ยวห่อแค่ฐาน ได้รสหมูและสาหร่าย ตัวไม้สาหร่ายมีเพียง3ลูก",0,0.1558956652879715,1,0.2736232876777649,4,0.10408991575241089,4
"วันนี้ระหว่างมาทำธุระที่ว่าการอำเภอบางพลี ระหว่างรอเจ้าหน้าที่พักเที่ยง ได้มีโอกาสมานั่งจิบกาแฟชมวิว ถ่ายรูปเล่นค่ะ
สั่งกาแฟคาปูชิโน่ไม่หสวานไป 1 แก้ว และแบบธรรมดา 1 แก้ว
รสชาติอร่อยกล่อมกล่อม หอมกลิ่นเมล็ดกาแฟคั่วมากค่ะ
มีโรยผงชินาม่อนประดับและเพิ่มความหวานแบบธรรมชาติๆให้ด้วยค่ะ
แก้วน่ารัก ตกแต่งด้วยดอกไม้คิขุมาก อยากเก็บแก้วกลับไปใช้ต่อจริงๆ แต่ไม่มีโอกาสค่ะวันนี้มือไม่ว่างเลย ><""
ถ้ามีโอกาสระหว่างรอทำธุระอย่างลืมมาแวะนั่งจิบกาแฟริมแม่น้ำของร้านนี้กันนะคะ
บรรยากาศร้านน่ารักมากๆ ประดับประดาด้วยดอกไม้หลากหลายชนิด ร้านอยู่บนเรือนแพ ติดแม่น้ำ มองเห็นปลาได้เลยค่ะ",0,0.2554464042186737,2,0.08501729369163513,1,0.1084616407752037,1
"ร้านสวยบรรยากาศดีมากๆอีกร้านนึงในกรุงเทพ เป็นร้านกลางแจ้งค่ะ ตึกก็ตกแต่งด้วยสีสดสวยงาม ร้านมี2ชั้น ถ้าชั้น2 จะสามารถมองเห็นเวทีดนตรีสดได้ชัดเจน ตอนกลางคืนมีดนตรีสดนะคะ เป็นเพลงฟังสบายๆ อาหารที่นี่เน้นเป็นอาหารไทนแนวฟิวชั่น กับอาหารอิตาเลี่ยนค่ะ อาหารจานใหญ่และราคาค่อนข้างแพง วันนี้สั่งเป้นสปาเก็ตตี้คาโบนาร่า เส้นสปาเก็ตตี้ลวกมาได้เหนียวหนึบกำลังดี เบคอนที่โรยมากรอบอร่อยเค็มค่ะดีค่ะ แต่คิดว่าจานนี้ผัดมาแห้งไปหน่อย แต่โดยรวมรสชาติดดี อีกจานเป็นยำเเซลมอนรสชาติมาตรฐานค่ะ
ให้  4 ดาว",0,0.14808283746242523,4,0.06807949393987656,2,0.04493057727813721,2
"การตกแต่งของร้านแปลกตาแนวความคิดมาจากหนังสือเรียนมานะกับมานีซึ่งเด็กสมัยนี้อาจไม่รู้จักแล้วแต่จะบอกว่าตัวเองแก่ก็กะไรอยู่ พอเคยได้ยินมาละกัน55555
อาหารรสชาติเหมือนสุกี้แต่น้ำจิ้มอร่อยดีค่ะทานได้เรื่อยๆมีเมนูให้สั่งหลากหลายอย่าง
พนักงานร้านต้อนรับดีด้วยหน้าตายิ้มแย้มค่ะ
เข้ามาเหมือนหลุดมาโลกของมานีเลยพรักงานในร้านเปนมานีกับมานะด้วยค่ะการแต่งตัว >.<
น่ารักดีค่ะ",0,0.11483489722013474,3,0.1902281641960144,3,0.15126535296440125,1
อาหารทำอร่อยดี สั่ง ยำไข่เยี่ยวม้า กับ ลาบหมูมากิน แต่บริการแย่มาก ไม่ค่อยสนใจลูกค้า ผมมาคนเดียว นั่งอยู่ประมาณ 10 นาทีก้ยังไม่มีใครมารับออเดอร์เลย มัวแต่สนใจลูกค้าที่มาเป็นกลุ่มๆ ขนาดผมมาก่อนลูกค้าบางโต๊ะยังไม่สนใจเลย จนต้องเดินไปสั่งเอง ใครที่คิดจะมากินเป็นกลุ่มก็ถือว่าโอเค,0,0.08854562044143677,2,0.21389617025852203,1,0.07293786108493805,1
