human_label,text,source,suspect_score,signals,llm_label,llm_reason,priority,why
,เคยปะที่เราชนแก้วฉลองให้กับเรื่องแย่ๆ ในชีวิตได้? คือเวลามีเรื่องแย่ๆ เรามักชอบนัดเพื่อนออกมาดื่มไรกันข้างนอก แล้วก็บ่น ระบาย พ่นความเศร้านั้นออกมา พลางกับชนแก้วให้กับเรื่องเหล่านั้น... ซึ่งเอาจริงมันก็ตลกดีนะที่เราสามารถชนแล้วดื่มฉลองให้กับความแย่นั้นได้ๆ แต่ถ้ามองอีกมุมมันคือการชนเพื่อปล่อยวาง หรือไม่ก็ชนเพื่อเปิดรับสิ่งใหม่ๆ ในวันรุ่งขึ้น #The3rdWays #JamesonThailand,wisesight,5,ชม:ดี; ยืดอักษร; ชม+แย่:แย่,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,"วันนี้อากาศร้อนมากๆค่ะ อาจเป็นเพราะฝนจะตก ... เพลียค่ะ
เข้ามาถึง โอ้ว ~ สวรรค์ของคนกรุงค่ะ ร้านน่ารัก บรรยากาศดี พนักงานเฟรนลี่ค่ะ
ที่สำคัญราคาไม่ได้แพงนะคะ มาคนเดียวรึว่าคู่ก็ขนหน้าแข้งไม่ร่วงนะ

ประทับใจที่สุด โอ้ย !!! เป๊ะเว่อ ลงตัว บ่องตงๆเบย นี้พี่ท้าให้ลอง :)",wongnai,5,"ชม:ดี,ประทับใจ,ที่สุด; ยืดอักษร; ชม+แย่:ไม่ได้",X,ขาดบริบทว่าชมจริงใจหรือประชด,0,LLM ตัดสินไม่ได้ (X)
,น้องเบียร์ น้องช้าง น้องลีโอ น้องสิงห์ น้องลีเจนซี่ น้อง40ดีกรี น้องน้ำแข็ง น้องแก้ว น้องโซดา,wisesight,4,ชม:ดี; ชม+แย่:ช้า,X,ต้องใช้บริบทเพิ่มเติมเพื่อเข้าใจเจตนา,0,LLM ตัดสินไม่ได้ (X)
,เราฉีดจนหนาวสั่นเข้ากระดูกนี่ตอนมหาลัยนะ ยาไรว่าแรงเราเอาก่อนแต่ที่นี่จ.ชื่อดังทางเหนือเขาฉีดแรงชนิดที่อึ้งกันไปเลยพอเราเคยฉีดน้อยๆ มาฉีดกับเขาแรกๆ พอไปได้หลังๆ ร่างกายสู้ไม่ไหว ใครก็ตามอย่าฉีดเลยเราบอกเลยว่ามันทรมานมาก หนาวในกระดูกเป็นไข้ห่มผ้าไม่หาย มองคนข้างๆ เอ่ามันยังใส่สายเดี่ยวนอนอยู่เลย ไปหาหมอสรุปมาจากเรื่องนี้ล้วนๆ,wisesight,4,ชม:ดี; ชม+แย่:หาย,X,ข้อมูลสุขภาพต้องการบริบทเพิ่มเติม,0,LLM ตัดสินไม่ได้ (X)
,สก็อตต์ รังนกแท้ตัวววว,wisesight,1,ยืดอักษร,X,ไม่มีบริบทเพื่อวิเคราะห์เจตนา,0,LLM ตัดสินไม่ได้ (X)
,ตื่นเต้วตื่นเต้น มาคนเดียวเปลี่ยวใจ กินลีโอย้อมใจ โอ้ว่าโอว่าอกเอยโอ้พระรามแพ้รัก ~ อุ๋งๆ หัวใจเต้นติ๊กๆ,wisesight,1,ชม:ดี,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,อร๊ายยยยย ไปกินแมคกัน,wisesight,1,ยืดอักษร,X,ไม่มีบริบทพอให้ตัดสิน,0,LLM ตัดสินไม่ได้ (X)
,ไปไหม แต่ก่อน 29 นะ,wisesight,0,,X,ขาดบริบทเพื่อการตัดสิน,0,LLM ตัดสินไม่ได้ (X)
,น่าจะจำกัดอายุมากกว่า,wisesight,0,,X,ไม่ชัดเจนว่าแง่บวกหรือลบ,0,LLM ตัดสินไม่ได้ (X)
,กทม เอาซีวิคไปไม่ไปหรอ,wisesight,0,,X,ขาดบริบทไม่ชัดเจนเหตุใดเอาซีวิค,0,LLM ตัดสินไม่ได้ (X)
,บุฟเฟต์เบียร์ เบียร์ช้าง กับ ซานมิเกล ครับ,wisesight,0,,X,ขาดบริบทเพิ่มเติมในการตีความ,0,LLM ตัดสินไม่ได้ (X)
,อยากแดกแสงมากกว่า,wisesight,0,,X,บริบทไม่พอในการตัดสิน,0,LLM ตัดสินไม่ได้ (X)
,19 ปีเข้าได้ไหมคะ,wisesight,0,,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,โทษบุรี่ไฟฟ้ากับกัญชาอาไรร้ายแรงกว่ากันคับ,wisesight,0,,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,นายกฯ สั่งลุย ขรก.ทุจริต ผิดจริง ให้ไล่ออก เลิกโยกย้าย -,wisesight,0,,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,มองแวบแรก นึกว่า. yaris ative. ทั้งสี. ทั้งหน้าตา,wisesight,0,,X,ตีความได้หลายทาง,0,LLM ตัดสินไม่ได้ (X)
,ก็เบียร์สิงห์ผลิตอ่ะ,wisesight,0,,X,ข้อความสั้นเกิน ต้องการบริบท,0,LLM ตัดสินไม่ได้ (X)
,ไปสั่งแมคโดนัลสาขาแถวนานาพนักงานบอกว่าไม่มีหมูเพราะเป็นโซนอสิลามอันนี้จิงหรือเปล่า,wisesight,0,,X,ถามเชิงสงสัยบริบทไม่ชัดเจน,0,LLM ตัดสินไม่ได้ (X)
